Student_Account,AC,WA,NA,RE,CE,SE,TLE,Submissions,Total_Time(Min),Average_Time(Min),Finish_Rate(%)
b03501124,1.07,2.86,0.07,0.07,0.50,0.00,0.00,4.57,5.95,1.28,100.00
b05501049,1.08,1.31,0.46,0.08,1.15,0.00,0.00,4.08,11.89,2.38,92.86
b05501004,0.86,1.93,0.43,0.00,0.93,0.07,0.00,4.21,9.32,2.22,85.71
b02501066,1.29,2.43,0.57,0.50,0.50,0.00,0.00,5.29,12.03,2.51,100.00
b02613004,1.00,1.50,0.00,0.00,0.50,0.00,0.00,3.00,5.32,1.33,14.29
b03204001,1.21,3.07,0.21,0.00,0.57,0.00,0.00,5.07,6.50,0.81,100.00
b02501080,1.00,1.50,0.58,0.42,0.75,0.00,0.00,4.25,10.52,2.62,85.71
b05501016,1.43,2.14,0.50,0.50,1.07,0.00,0.07,5.71,16.56,2.00,100.00
b03501016,1.29,2.00,0.57,0.57,1.21,0.00,0.00,5.64,14.93,3.95,100.00
b05501110,1.20,3.30,0.40,0.50,1.30,0.00,0.60,7.30,41.66,5.59,71.43
b05501058,1.40,1.60,0.40,0.00,0.70,0.10,0.00,4.20,12.74,2.37,71.43
b04501128,1.00,2.07,0.57,0.14,1.07,0.00,0.00,4.86,9.87,1.69,100.00
b04501125,1.31,3.38,0.15,0.69,0.77,0.08,0.00,6.38,15.12,1.46,85.71
b05501116,1.07,2.07,0.36,0.29,0.29,0.00,0.00,4.07,9.64,2.41,100.00
b02208010,1.43,2.79,0.86,0.21,1.00,0.00,0.00,6.29,31.45,5.80,92.86
b04501119,1.43,3.86,0.36,2.43,1.64,0.00,0.00,9.71,27.17,4.86,100.00
b03302131,1.70,3.50,0.50,0.10,1.80,0.00,0.00,7.60,19.66,1.96,71.43
b05501052,1.17,1.75,0.33,0.08,0.67,0.00,0.00,4.00,6.98,1.52,85.71
b05501119,1.29,2.64,0.64,0.00,0.93,0.00,0.07,5.57,25.74,3.99,92.86
b01204027,1.14,1.86,0.14,0.43,0.36,0.00,0.00,3.93,6.14,2.30,92.86
b05501073,1.07,0.86,0.43,0.36,0.57,0.00,0.00,3.29,14.06,3.47,100.00
b03501007,1.21,1.86,0.29,0.14,0.71,0.00,0.00,4.21,15.40,4.06,100.00
b01204037,1.14,0.93,0.43,0.86,0.64,0.00,0.00,4.00,9.53,2.10,100.00
b05501001,0.67,0.50,0.00,0.00,0.33,0.00,0.00,1.50,0.00,0.34,28.57
b02501120,1.14,3.50,0.71,0.21,0.71,0.00,0.00,6.29,115.63,14.18,100.00
b01501091,1.00,1.14,0.00,0.07,0.36,0.00,0.00,2.57,3.55,1.13,100.00
b05501085,1.79,2.07,0.14,0.07,0.43,0.00,0.00,4.50,8.20,1.63,100.00
b05501070,1.33,1.83,0.25,0.00,1.25,0.00,0.00,4.67,9.35,2.64,78.57
b05501031,1.00,0.50,0.00,0.00,7.00,0.00,0.00,8.50,39.70,5.80,14.29
b05501037,1.07,2.07,1.14,0.36,1.21,0.00,0.00,5.86,21.54,3.72,100.00
b05501025,1.29,2.50,0.36,0.29,1.00,0.00,0.00,5.43,16.02,4.17,92.86
b05501043,1.00,4.17,0.00,0.00,1.33,0.00,0.00,6.50,14.77,2.05,42.86
b05501076,1.09,1.91,0.45,0.00,0.64,0.00,0.00,4.09,141.36,35.41,78.57
b05501113,1.07,2.36,0.57,0.14,1.79,0.00,0.00,5.93,18.32,3.59,100.00
b05501019,1.07,1.00,0.50,0.07,0.29,0.00,0.00,2.93,9.45,3.69,100.00
b03204028,1.21,1.64,0.29,0.00,0.79,0.00,0.00,3.93,6.79,1.29,100.00
b05501028,1.11,2.00,0.33,0.11,2.11,0.00,0.00,5.67,7.10,2.05,42.86
