"Student Account",Start,End,"Total Time(Min)",AC,WA,NA,RE,CE,SE,Submissions,"Average Time(Min)"
b03204023,"2017-04-17 09:45:44","2017-04-17 12:44:21",178.62,2,0,0,0,2,0,4,59.54
b04501125,"2017-04-17 10:00:24","2017-04-17 10:04:38",4.23,1,2,0,0,0,0,3,2.12
b01204037,"2017-04-17 10:03:52","2017-04-17 10:03:52",0.00,1,0,0,0,0,0,1,0.00
b05501019,"2017-04-17 10:08:47","2017-04-17 11:07:14",58.45,1,8,0,0,0,0,9,7.31
b03501124,"2017-04-17 10:13:11","2017-04-17 10:16:59",3.80,1,0,0,2,0,0,3,1.90
b03605064,"2017-04-17 10:21:23","2017-04-17 10:28:57",7.57,1,1,0,2,0,0,4,2.52
b03505034,"2017-04-17 10:29:20","2017-04-17 10:32:28",3.13,2,2,0,0,0,0,4,1.04
b04602040,"2017-04-17 10:35:53","2017-04-17 11:01:28",25.58,3,0,0,0,1,0,4,8.53
b05501034,"2017-04-17 10:41:43","2017-04-17 11:03:32",21.82,1,0,0,1,0,0,2,21.82
b05501028,"2017-04-17 10:46:41","2017-04-17 10:46:41",0.00,1,0,0,0,0,0,1,0.00
b05501085,"2017-04-17 10:48:50","2017-04-17 10:48:50",0.00,1,0,0,0,0,0,1,0.00
b05501046,"2017-04-17 10:49:15","2017-04-17 10:49:15",0.00,1,0,0,0,0,0,1,0.00
b05501013,"2017-04-17 10:49:34","2017-04-17 10:49:34",0.00,1,0,0,0,0,0,1,0.00
b01204027,"2017-04-17 10:49:51","2017-04-17 10:51:39",1.80,1,1,0,0,0,0,2,1.80
b05501037,"2017-04-17 10:54:22","2017-04-17 11:05:59",11.62,1,5,0,0,1,0,7,1.94
b05501076,"2017-04-17 10:57:15","2017-04-19 20:59:47","3,482.53",1,3,0,0,0,0,4,"1,160.84"
b04501119,"2017-04-17 11:04:57","2017-04-18 11:18:02","1,453.08",1,7,0,0,1,0,9,181.64
b02208010,"2017-04-17 11:05:04","2017-04-18 11:14:27","1,449.38",2,2,0,0,0,0,4,483.13
b01501091,"2017-04-17 11:09:00","2017-04-17 11:09:00",0.00,1,0,0,0,0,0,1,0.00
b05501079,"2017-04-17 11:14:21","2017-04-17 12:38:00",83.65,1,1,0,1,0,0,3,41.83
b02501120,"2017-04-17 11:14:21","2017-04-17 11:26:36",12.25,1,4,0,0,0,0,5,3.06
b04501128,"2017-04-17 11:15:15","2017-04-17 11:18:27",3.20,1,2,0,0,0,0,3,1.60
b03204001,"2017-04-17 11:16:58","2017-04-17 11:24:00",7.03,1,0,0,2,0,0,3,3.52
b05501016,"2017-04-17 11:19:35","2017-04-17 11:32:48",13.22,1,5,0,0,0,0,6,2.64
b03204028,"2017-04-17 11:25:19","2017-04-17 11:30:16",4.95,1,4,0,0,4,0,9,0.62
b05501001,"2017-04-17 11:25:51","2017-04-17 11:33:51",8.00,1,4,0,0,1,0,6,1.60
b05501113,"2017-04-17 11:27:53","2017-04-17 11:31:21",3.47,1,1,0,0,1,0,3,1.73
b03501016,"2017-04-17 11:37:28","2017-04-18 16:55:35","1,758.12",0,4,0,3,0,0,7,293.02
b05501010,"2017-04-17 11:38:13","2017-04-17 11:38:13",0.00,1,0,0,0,0,0,1,0.00
b02501080,"2017-04-17 11:38:44","2017-04-17 11:42:25",3.68,1,3,0,0,0,0,4,1.23
b05501004,"2017-04-17 11:44:47","2017-04-17 12:01:14",16.45,1,4,0,0,1,0,6,3.29
b02501104,"2017-04-17 11:45:38","2017-04-17 13:05:25",79.78,0,2,0,0,0,0,2,79.78
b05501022,"2017-04-17 11:55:10","2017-04-17 11:58:36",3.43,1,1,0,0,0,0,2,3.43
b02501116,"2017-04-17 11:58:39","2017-04-18 15:33:19","1,654.67",1,5,0,0,2,0,8,236.38
b05501058,"2017-04-17 11:58:46","2017-04-17 12:45:37",46.85,1,3,0,0,0,0,4,15.62
b05501049,"2017-04-17 11:58:46","2017-04-17 11:58:46",0.00,1,0,0,0,0,0,1,0.00
b03501007,"2017-04-17 11:58:47","2017-04-17 12:09:56",11.15,0,6,0,0,0,0,6,2.23
b02501066,"2017-04-17 12:00:06","2017-04-17 12:00:06",0.00,1,0,0,0,0,0,1,0.00
b05501073,"2017-04-17 12:03:43","2017-04-18 01:38:08",814.42,0,4,0,0,0,0,4,271.47
b05501104,"2017-04-17 12:30:20","2017-04-17 20:27:55",477.58,1,3,0,0,0,0,4,159.19
b05501025,"2017-04-17 12:30:59","2017-04-17 12:58:44",27.75,0,1,0,3,0,0,4,9.25
b05501064,"2017-04-17 12:33:09","2017-04-18 19:30:55","1,857.77",0,14,0,0,0,0,14,142.91
b05501116,"2017-04-17 12:37:14","2017-04-17 12:38:10",0.93,1,1,0,0,0,0,2,0.93
b05501007,"2017-04-17 12:38:30","2017-04-17 12:39:48",1.30,1,1,0,0,0,0,2,1.30
b05501119,"2017-04-17 12:46:30","2017-04-17 12:51:15",4.75,0,6,0,0,0,0,6,0.95
b04104028,"2017-04-17 17:09:22","2017-04-17 17:09:44",0.37,2,0,0,0,0,0,2,0.37
b05501101,"2017-04-17 21:27:52","2017-04-17 21:27:52",0.00,1,0,0,0,0,0,1,0.00
b03302131,"2017-04-18 11:18:43","2017-04-19 15:17:25","1,678.70",1,7,0,1,0,0,9,209.84
b05501091,"2017-04-18 16:05:32","2017-04-18 16:14:06",8.57,1,2,0,0,0,0,3,4.28
