Student_Account,AC,WA,NA,RE,CE,SE,TLE,Submissions,Total_Time(Min),Average_Time(Min),Finish_Rate(%),Score,Level,Pass(>=60)
b01204027,1.14,1.86,0.14,0.43,0.36,0,0,3.93,6.14,2.3,92.86,90,A+,1
b01204037,1.14,0.93,0.43,0.86,0.64,0,0,4,9.53,2.1,100,90,A+,1
b01501091,1,1.14,0,0.07,0.36,0,0,2.57,3.55,1.13,100,99,A+,1
b02208010,1.43,2.79,0.86,0.21,1,0,0,6.29,31.45,5.8,92.86,59,F,0
b02501066,1.29,2.43,0.57,0.5,0.5,0,0,5.29,12.03,2.51,100,97,A+,1
b02501080,1,1.5,0.58,0.42,0.75,0,0,4.25,10.52,2.62,85.71,29,F,0
b02501104,0.92,2.38,0.31,0.31,0.38,0,0,4.31,16.6,2.19,85.71,94,A+,1
b02501116,1,3.56,1.67,0,1.11,0,0,7.33,27.64,2.99,64.29,42.5,F,0
b02501120,1.14,3.5,0.71,0.21,0.71,0,0,6.29,115.63,14.18,100,54,F,0
b03204001,1.21,3.07,0.21,0,0.57,0,0,5.07,6.5,0.81,100,94,A+,1
b03204023,1.29,1.14,0.5,0.43,0.43,0.07,0,3.86,9.58,2.92,100,97,A+,1
b03204028,1.21,1.64,0.29,0,0.79,0,0,3.93,6.79,1.29,100,94,A+,1
b03302131,1.7,3.5,0.5,0.1,1.8,0,0,7.6,19.66,1.96,71.43,49,F,0
b03501007,1.21,1.86,0.29,0.14,0.71,0,0,4.21,15.4,4.06,100,90,A+,1
b03501016,1.29,2,0.57,0.57,1.21,0,0,5.64,14.93,3.95,100,94,A+,1
b03501124,1.07,2.86,0.07,0.07,0.5,0,0,4.57,5.95,1.28,100,100,A+,1
b03505034,1.07,2.14,0.79,0.43,0.86,0,0,5.29,14.63,3.42,100,100,A+,1
b03605064,0.93,1.64,0.79,0.64,0.5,0,0,4.5,17.98,2.57,92.86,80,A-,1
b04104028,0.75,2.5,0.17,0.5,1.92,0,0,5.83,19.28,3.86,64.29,89,A,1
b04501119,1.43,3.86,0.36,2.43,1.64,0,0,9.71,27.17,4.86,100,74,B,1
b04501125,1.31,3.38,0.15,0.69,0.77,0.08,0,6.38,15.12,1.46,85.71,93,A+,1
b04501128,1,2.07,0.57,0.14,1.07,0,0,4.86,9.87,1.69,100,47.5,F,0
b05501004,0.86,1.93,0.43,0,0.93,0.07,0,4.21,9.32,2.22,85.71,58,F,0
b05501007,1.5,0.93,0.71,0,0,0,0,3.14,11.67,2.14,100,89,A,1
b05501010,1.46,2.08,0.92,0.46,0.85,0,0,5.77,15.65,2.34,85.71,100,A+,1
b05501013,1.21,2.86,1.07,0.5,1.79,0,0,7.43,12.67,1.36,100,74,B,1
b05501016,1.43,2.14,0.5,0.5,1.07,0,0.07,5.71,16.56,2,100,94,A+,1
b05501019,1.07,1,0.5,0.07,0.29,0,0,2.93,9.45,3.69,100,93,A+,1
b05501022,1,2,0,0.18,1.55,0,0,4.73,10.17,1.83,78.57,59,F,0
b05501025,1.29,2.5,0.36,0.29,1,0,0,5.43,16.02,4.17,92.86,69,C+,1
b05501028,1.11,2,0.33,0.11,2.11,0,0,5.67,7.1,2.05,42.86,54,F,0
b05501034,1.14,1.5,0.29,0.14,0.79,0,0,3.86,8.26,2.11,100,59,F,0
b05501037,1.07,2.07,1.14,0.36,1.21,0,0,5.86,21.54,3.72,100,66.5,C,1
b05501046,1.07,1,0.14,0.29,0.29,0,0,2.79,7.5,1.67,100,89,A,1
b05501049,1.08,1.31,0.46,0.08,1.15,0,0,4.08,11.89,2.38,92.86,79,B+,1
b05501052,1.17,1.75,0.33,0.08,0.67,0,0,4,6.98,1.52,85.71,40,F,0
b05501055,0.78,2.67,1.11,0.22,1.33,0,0,6.11,17.99,2.81,50,25,F,0
b05501058,1.4,1.6,0.4,0,0.7,0.1,0,4.2,12.74,2.37,71.43,54,F,0
b05501064,1.09,2.45,0,0.36,0.36,0,0,4.27,8.74,2.82,78.57,87,A,1
b05501070,1.33,1.83,0.25,0,1.25,0,0,4.67,9.35,2.64,78.57,64,C,1
b05501073,1.07,0.86,0.43,0.36,0.57,0,0,3.29,14.06,3.47,100,44,F,0
b05501076,1.09,1.91,0.45,0,0.64,0,0,4.09,141.36,35.41,78.57,99,A+,1
b05501079,0.93,1.14,0.07,0.21,0.5,0,0,2.86,11.87,6.69,92.86,62,C-,1
b05501085,1.79,2.07,0.14,0.07,0.43,0,0,4.5,8.2,1.63,100,74,B,1
b05501091,0.9,1.4,0,1.3,1.7,0,0,5.3,44.26,68.56,64.29,57,F,0
b05501101,1,2.17,0.08,0.08,1.33,0,0,4.67,11.91,2.16,78.57,74,B,1
b05501104,1.11,4.44,0.33,0.33,1.11,0,0,7.33,22.8,3.72,64.29,87,A,1
b05501107,1.17,2.5,0.42,0.5,2.17,0,0,6.75,23.69,7.32,78.57,92,A+,1
b05501110,1.2,3.3,0.4,0.5,1.3,0,0.6,7.3,41.66,5.59,71.43,7,F,0
b05501113,1.07,2.36,0.57,0.14,1.79,0,0,5.93,18.32,3.59,100,95,A+,1
b05501116,1.07,2.07,0.36,0.29,0.29,0,0,4.07,9.64,2.41,100,57.5,F,0
b05501119,1.29,2.64,0.64,0,0.93,0,0.07,5.57,25.74,3.99,92.86,99,A+,1
