Student_Account,AC,WA,NA,RE,CE,SE,TLE,Submissions,Total_Time(Min),Average_Time(Min),Finish_Rate(%),Score,Level,Pass(>=60)
b01204027,1.09,1.87,0.09,0.43,0.52,0,0,4,6.94,2.19,95.65,85,A,Yes
b01204037,1.09,1.26,0.26,0.52,0.43,0,0,3.57,9.6,1.65,100,100,A+,Yes
b01501091,0.96,1.39,0,0.09,0.26,0,0,2.7,2.49,0.9,95.65,89,A,Yes
b02208010,1.35,2.1,0.6,0.15,0.75,0,0,4.95,98.94,29.29,82.61,73,B,Yes
b02501066,1.13,1.83,0.35,0.3,0.61,0,0,4.22,8.85,2.15,95.65,92,A+,Yes
b02501080,0.95,2.14,0.33,0.57,0.76,0,0,4.76,7.27,1.96,86.96,94,A+,Yes
b02501104,0.91,2.23,0.18,0.23,0.32,0,0,3.86,11.67,5.4,86.96,97,A+,Yes
b02501116,1,2.35,0.88,0,1.06,0,0,5.29,19.35,31.76,69.57,48,F,No
b02501120,1.09,2.45,0.45,0.59,0.59,0,0,5.18,144.01,43.53,95.65,26,F,No
b03204001,1.22,2.09,0.13,0.17,0.35,0,0,3.96,6.79,1.5,100,83,A-,Yes
b03204023,1.39,1.96,0.3,0.57,0.74,0.04,0,5,31.13,16.63,95.65,87,A,Yes
b03204028,1.14,1.5,0.18,0,0.91,0,0.09,3.82,5.15,1.07,95.65,88,A,Yes
b03302131,1.83,2.61,0.28,0.5,1.5,0,0,6.72,38.26,7.37,73.91,73,B,Yes
b03501007,1.04,1.87,0.17,0.39,0.78,0,0,4.26,12.6,3.21,91.3,40,F,No
b03501016,1.35,1.87,0.35,0.57,0.83,0,0,4.96,18.5,9.73,91.3,65,C,Yes
b03501124,1,2.3,0.04,0.35,0.35,0,0,4.04,4.62,1.05,95.65,75,B,Yes
b03505034,1.22,2.57,0.48,0.26,0.78,0,0,5.3,13.7,4.04,95.65,79,B+,Yes
b03605064,0.91,2.39,0.48,0.7,0.39,0,0,4.87,12,2.01,91.3,79,B+,Yes
b04104028,0.8,2.35,0.1,0.35,1.25,0,0,4.85,11.5,3.03,69.57,81,A-,Yes
b04501119,1.26,3.22,0.22,1.91,1.57,0,0,8.17,147.58,74.77,100,23,F,No
b04501125,1.18,2.77,0.09,0.41,0.5,0.05,0,5,10.47,1.19,91.3,91,A+,Yes
b04501128,0.96,1.74,0.35,0.13,0.87,0,0,4.04,7.6,1.57,95.65,83,A-,Yes
b05501001,0.7,1.1,0,0.1,0.7,0,0,2.6,3.44,3.8,30.43,16,F,No
b05501004,0.89,1.84,0.32,0,0.74,0.05,0,3.84,8.08,2.05,73.91,66,C,Yes
b05501007,1.42,1.05,0.53,0,0,0,0,3,9.49,2.02,82.61,59,F,No
b05501010,1.23,1.55,0.55,0.32,1.18,0,0,4.82,11.31,2.66,86.96,59,F,No
b05501013,1.17,3.04,0.65,0.3,1.3,0,0,6.48,11.61,1.24,100,94,A+,Yes
b05501016,1.22,2,0.3,0.43,0.87,0,0.04,4.87,14.3,2.68,95.65,88,A,Yes
b05501019,1.04,1.78,0.3,0.13,0.22,0,0,3.48,17.87,6.19,95.65,81,A-,Yes
b05501022,1,1.39,0,0.17,1,0,0,3.56,82.86,77.76,78.26,58,F,No
b05501025,1.22,2.7,0.22,0.3,0.83,0,0,5.26,15.47,3.75,91.3,71,B-,Yes
b05501028,1,1.93,0.2,0.07,1.8,0,0,5,4.75,1.67,47.83,50,F,No
b05501034,1.09,1.13,0.17,0.3,0.52,0,0,3.22,10,3.92,100,95,A+,Yes
b05501037,1.09,2.7,0.7,0.22,1.26,0,0,5.96,16.99,2.89,100,81,A-,Yes
b05501043,1,4.17,0,0,1.33,0,0,6.5,14.77,2.05,26.09,3,F,No
b05501046,1.13,1,0.09,0.17,0.3,0,0,2.7,7.56,1.83,100,96,A+,Yes
b05501049,1.1,0.9,0.29,0.05,0.71,0,0,3.05,7.71,1.76,91.3,70,B-,Yes
b05501052,1.14,2.07,0.29,0.07,0.57,0,0,4.14,6.75,1.47,60.87,38,F,No
b05501055,0.82,2.27,0.91,0.18,1.09,0,0,5.27,14.88,3.02,39.13,57,F,No
b05501058,1.29,2.21,0.29,0.21,0.86,0.07,0,4.93,14.4,2.91,60.87,57,F,No
b05501064,1,2,0,0.25,0.31,0,0,3.56,6.46,2.1,65.22,78,B+,Yes
b05501070,1.31,1.69,0.23,0.23,1.23,0,0,4.69,9.04,2.54,52.17,24,F,No
b05501073,0.96,1.09,0.26,0.22,0.96,0,0,3.48,11.4,9.63,91.3,91,A+,Yes
b05501076,0.95,1.58,0.26,0.05,0.47,0,0,3.32,98.25,26.56,73.91,83,A-,Yes
b05501079,0.95,0.85,0.05,0.2,0.55,0,0,2.6,14.5,8.37,78.26,69,C+,Yes
b05501085,1.57,1.91,0.09,0.3,0.48,0,0.04,4.39,8.2,2.08,100,96,A+,Yes
b05501091,0.91,1.27,0,1.18,1.55,0,0,4.91,39.84,62.32,43.48,38,F,No
b05501101,1.11,1.89,0.05,0.21,1.42,0,0,4.68,14.41,6.12,73.91,80,A-,Yes
b05501104,0.94,2.65,0.18,0.59,1.12,0,0,5.47,19.87,4.25,65.22,59,F,No
b05501107,1.24,1.94,0.29,0.35,1.59,0,0,5.41,16.56,5.25,69.57,53,F,No
b05501110,1.13,2.13,0.25,0.38,0.94,0,0.38,5.19,28.45,4.79,69.57,59,F,No
b05501113,1.04,1.91,0.35,0.09,1.48,0,0,4.87,13.59,3,100,85,A,Yes
b05501116,1.05,2,0.23,0.64,0.41,0,0,4.32,9.6,2.02,95.65,78,B+,Yes
b05501119,1.09,2,0.39,0.17,0.78,0,0.04,4.48,19.59,4.25,86.96,59,F,No
