Student_Account,AC,WA,NA,RE,CE,SE,TLE,Submissions,Total_Time(Min),Average_Time(Min),Finish_Rate(%),Score,Level,Pass(>=60)
b01204027,1.06,1.59,0.19,0.38,0.44,0,0,3.66,6.69,2.52,96.88,98.6666666667,A+,Yes
b01204037,1.06,1.03,0.19,0.38,0.34,0,0,3,7.5,1.55,100,97.3333333333,A+,Yes
b01501091,0.97,1.09,0,0.06,0.31,0,0,2.44,2.84,1.44,96.88,100,A+,Yes
b02208010,1.24,1.83,0.52,0.17,0.69,0,0,4.45,71.95,20.6,84.38,62.6666666667,B-,Yes
b02501066,1.09,1.53,0.28,0.22,0.44,0,0,3.56,7.47,2.18,96.88,98.6666666667,A+,Yes
b02501080,0.97,1.63,0.27,0.4,0.7,0,0,3.97,5.73,1.72,90.63,94.6666666667,A+,Yes
b02501104,0.97,1.77,0.13,0.17,0.33,0,0,3.37,14.05,6.48,87.5,86,A-,Yes
b02501116,0.96,1.91,0.87,0,1.35,0,0,5.09,78.85,30.48,65.63,50,C,No
b02501120,1.07,2.4,0.6,0.43,1.07,0,0,5.57,113.87,34.31,93.75,0,F,No
b03204001,1.23,1.83,0.1,0.13,0.27,0,0,3.57,7.15,1.83,93.75,93.3333333333,A+,Yes
b03204023,1.4,1.87,0.3,0.5,0.63,0.03,0,4.73,27.74,14.19,90.63,81.3333333333,A-,Yes
b03204028,1.11,1.39,0.21,0,0.75,0,0.07,3.54,4.39,0.97,87.5,88,A,Yes
b03302131,1.56,2.19,0.22,0.37,1.22,0,0,5.56,127.74,78.83,81.25,77.3333333333,B+,Yes
b03501007,1.03,1.56,0.13,0.28,0.97,0,0,3.97,11.7,3.24,93.75,47.3333333333,C,No
b03501016,1.25,1.53,0.25,0.41,0.94,0,0,4.38,14.18,7.62,93.75,77.3333333333,B+,Yes
b03501124,1.03,2.09,0.13,0.28,0.91,0,0,4.44,5.12,1.26,96.88,90,A,Yes
b03505034,1.19,2.03,0.45,0.19,0.58,0,0,4.45,14.92,7.54,93.75,86.6666666667,A,Yes
b03605064,0.94,2.16,0.45,0.61,0.35,0,0,4.52,11.76,2.53,90.63,97.3333333333,A+,Yes
b04104028,0.89,2.07,0.15,0.33,0.96,0,0,4.41,12.88,3.61,71.88,93.3333333333,A+,Yes
b04501119,1.25,3.13,0.21,1.83,1.54,0,0,7.96,141.81,71.84,75,53.3333333333,C+,No
b04501125,1.13,2.43,0.13,0.3,0.6,0.03,0,4.63,9,1.42,90.63,96,A+,Yes
b04501128,0.94,1.39,0.26,0.16,0.81,0,0,3.55,6.25,1.6,90.63,81.3333333333,A-,Yes
b05501004,0.92,1.76,0.36,0,0.68,0.04,0,3.76,8.1,2.47,71.88,56.6666666667,C+,No
b05501007,1.31,1,0.38,0,0.23,0,0,2.92,7.76,1.88,81.25,66.6666666667,B,Yes
b05501010,1.17,1.4,0.4,0.67,1.07,0,0,4.7,14.59,3.03,87.5,90.6666666667,A,Yes
b05501013,1.13,2.32,0.48,0.23,1.06,0,0,5.23,8.79,1.1,96.88,94.6666666667,A+,Yes
b05501016,1.13,1.59,0.22,0.41,0.81,0,0.03,4.19,11.08,2.43,93.75,89.3333333333,A,Yes
b05501019,1.03,1.5,0.22,0.13,0.16,0,0,3.03,14.16,5.33,96.88,92,A,Yes
b05501022,1,1.29,0,0.17,0.88,0,0,3.33,122.22,79.49,75,93.3333333333,A+,Yes
b05501025,1.14,2.66,0.21,0.24,1.14,0,0,5.38,18.99,4.17,81.25,76,B+,Yes
b05501028,1,1.85,0.25,0.05,1.4,0,0,4.55,10.03,2.84,50,78.6666666667,B+,Yes
b05501034,1.06,1.16,0.13,0.23,0.55,0,0,3.13,9.95,3.73,96.88,100,A+,Yes
b05501037,1.03,2.25,0.53,0.22,1.13,0,0,5.16,14.5,3.25,96.88,88,A,Yes
b05501046,1.09,0.78,0.06,0.38,0.44,0,0,2.75,51.32,17.31,100,100,A+,Yes
b05501049,1.08,0.88,0.24,0.04,0.6,0,0,2.84,6.7,1.7,78.13,76,B+,Yes
b05501064,1,1.57,0.05,0.19,0.43,0,0,3.24,5.58,1.83,62.5,46,C-,No
b05501070,1.12,1.53,0.24,0.29,1,0,0,4.18,8.93,2.52,43.75,48,C,No
b05501073,0.97,1.17,0.24,0.21,1.03,0,0,3.62,12.13,8.34,84.38,88.6666666667,A,Yes
b05501076,0.95,1.41,0.27,0.05,0.5,0,0,3.18,83.87,23.1,62.5,92,A,Yes
b05501079,0.93,1.11,0.07,0.14,0.46,0,0,2.71,12.53,6.68,78.13,78.6666666667,B+,Yes
b05501085,1.61,1.45,0.1,0.26,0.61,0,0.03,4.06,9.32,2.42,96.88,96,A+,Yes
b05501091,0.88,0.94,0.06,0.88,1.53,0,0,4.29,29.32,41.37,46.88,72.6666666667,B,Yes
b05501101,1.04,1.96,0.11,0.3,1.19,0,0,4.59,17.5,5.47,71.88,78.6666666667,B+,Yes
b05501104,1,2.12,0.15,0.58,1.35,0,0,5.19,22.15,4.98,71.88,84.6666666667,A-,Yes
b05501107,1.19,2,0.24,0.43,1.52,0,0,5.38,14.48,4.55,62.5,56.6666666667,C+,No
b05501113,1,1.84,0.25,0.06,1.31,0,0,4.47,12.43,2.77,96.88,96,A+,Yes
b05501116,1.2,2.13,0.2,0.5,0.47,0,0,4.5,9.98,2.14,93.75,89.3333333333,A,Yes
b05501119,1.06,1.44,0.28,0.13,0.59,0,0.03,3.53,13.56,3.1,90.63,39.3333333333,F,No
