"","AC","WA","NA.","RE","CE","SE","TLE","Submissions","Total_Time.Min.","Average_Time.Min.","Finish_Rate...","Score"
"AC",1,0.17,0.04,0.04,-0.07,0.11,0.06,0.24,-0.04,-0.19,0.25,0.14
"WA",0.17,1,0.22,0.2,0.4,-0.05,0.21,0.85,0.26,-0.08,-0.3,-0.11
"NA.",0.04,0.22,1,-0.05,0.13,-0.07,-0.01,0.39,0.17,-0.14,-0.03,-0.21
"RE",0.04,0.2,-0.05,1,0.26,-0.04,0.06,0.48,0.05,0.29,0.05,0.04
"CE",-0.07,0.4,0.13,0.26,1,-0.13,0.1,0.68,0.07,0.18,-0.52,-0.25
"SE",0.11,-0.05,-0.07,-0.04,-0.13,1,-0.05,-0.07,-0.09,-0.08,-0.08,0
"TLE",0.06,0.21,-0.01,0.06,0.1,-0.05,1,0.23,0.13,0,-0.15,-0.38
"Submissions",0.24,0.85,0.39,0.48,0.68,-0.07,0.23,1,0.22,0.04,-0.32,-0.19
"Total_Time.Min.",-0.04,0.26,0.17,0.05,0.07,-0.09,0.13,0.22,1,0.57,-0.13,-0.06
"Average_Time.Min.",-0.19,-0.08,-0.14,0.29,0.18,-0.08,0,0.04,0.57,1,-0.25,-0.06
"Finish_Rate...",0.25,-0.3,-0.03,0.05,-0.52,-0.08,-0.15,-0.32,-0.13,-0.25,1,0.43
"Score",0.14,-0.11,-0.21,0.04,-0.25,0,-0.38,-0.19,-0.06,-0.06,0.43,1
