"","AC","WA","NA.","RE","CE","SE","TLE","Submissions","Total_Time.Min.","Average_Time.Min.","Finish_Rate...","Score"
"AC",NA,0.23,0.8,0.76,0.63,0.46,0.68,0.08,0.78,0.19,0.07,0.32
"WA",0.23,NA,0.12,0.16,0,0.72,0.14,0,0.07,0.58,0.03,0.43
"NA.",0.8,0.12,NA,0.7,0.35,0.61,0.95,0,0.23,0.34,0.82,0.14
"RE",0.76,0.16,0.7,NA,0.07,0.79,0.68,0,0.75,0.04,0.71,0.8
"CE",0.63,0,0.35,0.07,NA,0.38,0.47,0,0.63,0.21,0,0.07
"SE",0.46,0.72,0.61,0.79,0.38,NA,0.73,0.6,0.53,0.59,0.57,0.99
"TLE",0.68,0.14,0.95,0.68,0.47,0.73,NA,0.1,0.34,0.99,0.3,0.01
"Submissions",0.08,0,0,0,0,0.6,0.1,NA,0.11,0.78,0.02,0.17
"Total_Time.Min.",0.78,0.07,0.23,0.75,0.63,0.53,0.34,0.11,NA,0,0.37,0.66
"Average_Time.Min.",0.19,0.58,0.34,0.04,0.21,0.59,0.99,0.78,0,NA,0.08,0.66
"Finish_Rate...",0.07,0.03,0.82,0.71,0,0.57,0.3,0.02,0.37,0.08,NA,0
"Score",0.32,0.43,0.14,0.8,0.07,0.99,0.01,0.17,0.66,0.66,0,NA
